AGEGROUP,Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,CURED,DEAD,NAME,OBJECTID
AGE_45_65,32,78153,2,1,0,0,0,6,0,Achterhoek,16
AGE_65_85,32,78054,1,0,0,0,0,5,0,Achterhoek,16
AGE_85_100,32,28212,0,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,33,77610,1,1,0,0,0,6,0,Achterhoek,16
AGE_18_35,33,94407,3,0,0,0,0,7,0,Achterhoek,16
AGE_35_45,33,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,33,78152,2,1,0,0,0,7,0,Achterhoek,16
AGE_65_85,33,78054,1,0,0,0,0,5,0,Achterhoek,16
AGE_85_100,33,28212,0,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,34,77610,1,0,1,0,0,6,0,Achterhoek,16
AGE_18_35,34,94407,2,1,0,0,0,7,0,Achterhoek,16
AGE_35_45,34,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,34,78152,1,0,0,0,0,9,0,Achterhoek,16
AGE_65_85,34,78053,1,1,0,0,0,5,0,Achterhoek,16
AGE_85_100,34,28211,1,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,35,77610,1,0,0,0,0,7,0,Achterhoek,16
AGE_18_35,35,94407,1,1,0,0,0,8,0,Achterhoek,16
AGE_35_45,35,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,35,78151,1,1,0,0,0,9,0,Achterhoek,16
AGE_65_85,35,78052,1,2,0,0,0,5,0,Achterhoek,16
AGE_85_100,35,28211,1,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,36,77609,1,1,0,0,0,7,0,Achterhoek,16
AGE_18_35,36,94407,1,0,0,0,0,9,0,Achterhoek,16
AGE_35_45,36,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,36,78150,2,1,0,0,0,9,0,Achterhoek,16
AGE_65_85,36,78052,0,0,1,0,0,7,0,Achterhoek,16
AGE_85_100,36,28210,2,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,37,77609,0,1,0,0,0,8,0,Achterhoek,16
AGE_18_35,37,94407,1,0,0,0,0,9,0,Achterhoek,16
AGE_35_45,37,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,37,78149,3,1,0,0,0,9,0,Achterhoek,16
AGE_65_85,37,78051,1,0,1,0,0,7,0,Achterhoek,16
AGE_85_100,37,28210,2,0,0,0,0,4,1,Achterhoek,16
AGE_0_18,38,77609,0,0,1,0,0,8,0,Achterhoek,16
AGE_18_35,38,94406,1,1,0,0,0,9,0,Achterhoek,16
AGE_35_45,38,44767,0,0,0,0,0,2,0,Achterhoek,16
AGE_45_65,38,78148,3,1,0,0,0,10,0,Achterhoek,16
AGE_65_85,38,78051,1,0,0,1,0,7,0,Achterhoek,16
